Date,Open,High,Low,Close,Adj Close,Volume
12/8/1989,2.921875,2.953125,2.921875,2.953125,1.470727,122400
12/11/1989,2.96875,3.03125,2.9375,3,1.494072,306400
12/12/1989,3.015625,3.03125,2.984375,3.015625,1.501854,1119200
12/13/1989,3,3.15625,2.984375,3.15625,1.571889,400000
12/14/1989,3.125,3.140625,3.109375,3.125,1.556325,391200
12/15/1989,3.140625,3.140625,3.09375,3.109375,1.548543,155200
12/18/1989,3.078125,3.125,3.03125,3.03125,1.509635,224000
12/19/1989,3.03125,3.0625,3.03125,3.0625,1.525199,215200
12/20/1989,3.0625,3.109375,3.046875,3.078125,1.53298,166400
12/21/1989,3.109375,3.125,3.0625,3.109375,1.548543,174400
12/22/1989,3.125,3.125,3.109375,3.125,1.556325,173600
12/26/1989,3.109375,3.109375,3.078125,3.078125,1.53298,97600
12/27/1989,3.0625,3.0625,3.03125,3.03125,1.509635,144000
12/28/1989,3.046875,3.046875,3.03125,3.03125,1.509635,11200
12/29/1989,3.03125,3.15625,3.015625,3.15625,1.571889,219200
1/2/1990,3.125,3.125,3.03125,3.046875,1.517417,194400
1/3/1990,3.0625,3.0625,3.03125,3.03125,1.509635,361600
1/4/1990,3.03125,3.0625,2.953125,2.953125,1.470727,166400
1/5/1990,2.9375,2.9375,2.859375,2.90625,1.447382,100800
1/8/1990,2.875,2.890625,2.84375,2.859375,1.424037,880800
1/9/1990,2.828125,2.84375,2.8125,2.8125,1.400692,282400
1/10/1990,2.765625,2.765625,2.6875,2.703125,1.370587,784000
1/11/1990,2.71875,2.765625,2.703125,2.75,1.394355,347200
1/12/1990,2.71875,2.734375,2.6875,2.71875,1.37851,159200
1/15/1990,2.734375,2.734375,2.71875,2.71875,1.37851,25600
1/16/1990,2.6875,2.703125,2.625,2.703125,1.370587,172800
1/17/1990,2.71875,2.8125,2.71875,2.71875,1.37851,216000
1/18/1990,2.6875,2.71875,2.6875,2.703125,1.370587,157600
1/19/1990,2.734375,2.75,2.734375,2.75,1.394355,8800
1/22/1990,2.734375,2.75,2.71875,2.734375,1.386432,56800
1/23/1990,2.765625,2.765625,2.734375,2.75,1.394355,101600
1/24/1990,2.734375,2.734375,2.6875,2.6875,1.362665,26400
1/25/1990,2.6875,2.71875,2.671875,2.71875,1.37851,249600
1/26/1990,2.703125,2.71875,2.671875,2.671875,1.354742,45600
1/29/1990,2.6875,2.6875,2.625,2.640625,1.338897,444000
1/30/1990,2.625,2.65625,2.578125,2.65625,1.34682,548000
1/31/1990,2.6875,2.859375,2.6875,2.859375,1.449811,757600
2/1/1990,2.875,2.875,2.84375,2.859375,1.449811,149600
2/2/1990,2.875,2.90625,2.875,2.875,1.457734,720000
2/5/1990,2.90625,2.90625,2.875,2.875,1.457734,163200
2/6/1990,2.875,2.90625,2.84375,2.890625,1.465657,99200
2/7/1990,2.90625,2.9375,2.90625,2.9375,1.489424,32800
2/8/1990,2.96875,3.125,2.96875,3.046875,1.544882,346400
2/9/1990,3.078125,3.125,2.96875,3,1.521114,179200
2/12/1990,3,3,2.90625,2.90625,1.473579,28000
2/13/1990,2.9375,2.953125,2.9375,2.953125,1.497347,26400
2/14/1990,2.953125,2.96875,2.9375,2.9375,1.489424,32800
2/15/1990,2.953125,2.96875,2.953125,2.953125,1.497347,152000
2/16/1990,2.96875,2.96875,2.96875,2.96875,1.505269,32000
2/20/1990,2.984375,2.984375,2.953125,2.953125,1.497347,23200
2/21/1990,2.953125,2.953125,2.90625,2.90625,1.473579,553600
2/22/1990,2.90625,2.90625,2.84375,2.84375,1.441889,148000
2/23/1990,2.78125,2.78125,2.6875,2.71875,1.37851,575200
2/26/1990,2.734375,2.75,2.734375,2.75,1.394355,477600
2/27/1990,2.765625,2.84375,2.765625,2.84375,1.441889,357600
2/28/1990,2.8125,2.828125,2.796875,2.796875,1.418122,145600
3/1/1990,2.796875,2.796875,2.75,2.75,1.394355,225600
3/2/1990,2.75,2.78125,2.6875,2.703125,1.370587,931200
3/5/1990,2.671875,2.703125,2.65625,2.671875,1.354742,146400
3/6/1990,2.671875,2.734375,2.625,2.734375,1.386432,258400
3/7/1990,2.734375,2.75,2.703125,2.75,1.394355,174400
3/8/1990,2.75,2.796875,2.734375,2.78125,1.4102,146400
3/9/1990,2.75,2.78125,2.734375,2.734375,1.386432,194400
3/12/1990,2.703125,2.71875,2.625,2.6875,1.362665,1072800
3/13/1990,2.671875,2.6875,2.671875,2.6875,1.362665,662400
3/14/1990,2.671875,2.765625,2.671875,2.765625,1.402277,298400
3/15/1990,2.78125,2.796875,2.71875,2.71875,1.37851,192000
3/16/1990,2.75,2.78125,2.734375,2.78125,1.4102,271200
3/19/1990,2.75,2.765625,2.75,2.765625,1.402277,476000
3/20/1990,2.75,2.90625,2.75,2.796875,1.418122,898400
3/21/1990,2.796875,2.8125,2.796875,2.796875,1.418122,102400
3/22/1990,2.75,2.765625,2.75,2.765625,1.402277,177600
3/23/1990,2.796875,2.796875,2.796875,2.796875,1.418122,320000
3/26/1990,2.78125,2.78125,2.75,2.75,1.394355,37600
3/27/1990,2.734375,2.75,2.734375,2.75,1.394355,24000
3/28/1990,2.84375,2.9375,2.84375,2.921875,1.481502,706400
3/29/1990,2.921875,2.9375,2.890625,2.90625,1.473579,361600
3/30/1990,2.921875,2.921875,2.921875,2.921875,1.481502,161600
4/2/1990,2.921875,2.921875,2.84375,2.875,1.457734,184800
4/3/1990,2.875,3.03125,2.875,2.984375,1.513192,358400
4/4/1990,2.984375,2.984375,2.90625,2.90625,1.473579,364800
4/5/1990,2.9375,2.953125,2.90625,2.90625,1.473579,373600
4/6/1990,2.921875,2.921875,2.78125,2.78125,1.4102,810400
4/9/1990,2.734375,2.765625,2.734375,2.734375,1.411813,336800
4/10/1990,2.75,2.8125,2.71875,2.765625,1.427949,426400
4/11/1990,2.78125,2.8125,2.71875,2.734375,1.411813,234400
4/12/1990,2.71875,2.734375,2.59375,2.625,1.355341,456000
4/16/1990,2.640625,2.734375,2.640625,2.703125,1.395678,273600
4/17/1990,2.71875,2.71875,2.703125,2.71875,1.403747,16800
4/18/1990,2.6875,2.75,2.6875,2.71875,1.403747,333600
4/19/1990,2.71875,2.71875,2.671875,2.6875,1.387611,207200
4/20/1990,2.671875,2.6875,2.65625,2.671875,1.379543,168800
4/23/1990,2.65625,2.65625,2.625,2.625,1.355341,173600
4/24/1990,2.625,2.671875,2.625,2.625,1.355341,458400
4/25/1990,2.65625,2.671875,2.640625,2.65625,1.371476,104000
